term,course_id,title,catalog_url
FA26,CENG:101A,Introductory Fluid Mechanics,https://catalog.ucsd.edu/courses/NANO.html#ceng101a
FA26,CENG:110,Material and Energy Balances with Applications,https://catalog.ucsd.edu/courses/NANO.html#ceng110
FA26,CENG:120,Chemical Process Dynamics and Control,https://catalog.ucsd.edu/courses/NANO.html#ceng120
FA26,CENG:122,Separation Processes,https://catalog.ucsd.edu/courses/NANO.html#ceng122
FA26,CENG:170,Experimental Methods for Chemical Engineers,https://catalog.ucsd.edu/courses/NANO.html#ceng170
FA26,CENG:205,Graduate Seminar in Chemical and Nano Engineering,https://catalog.ucsd.edu/courses/NANO.html#ceng205
FA26,CENG:211,Introduction to NanoEngineering,https://catalog.ucsd.edu/courses/NANO.html
FA26,CENG:221A,Heat Transfer,https://catalog.ucsd.edu/courses/NANO.html#ceng221a
FA26,CENG:252,Chemical Reaction Engineering,https://catalog.ucsd.edu/courses/NANO.html#ceng252
FA26,CENG:299,Graduate Research in Chemical Engineering,https://catalog.ucsd.edu/courses/NANO.html#ceng299
FA26,CGS:2A,Introduction to Critical Gender Studies: Key Terms and Concepts,https://catalog.ucsd.edu/courses/CGS.html#cgs2a
FA26,CGS:87,Critical Gender Studies First-year Seminar,https://catalog.ucsd.edu/courses/CGS.html#cgs87
FA26,CGS:100A,Conceptualizing Gender: Theoretical Approaches,https://catalog.ucsd.edu/courses/CGS.html#cgs100a
FA26,CGS:101,Gender and Globalization,https://catalog.ucsd.edu/courses/CGS.html#cgs101
FA26,CGS:111,Gender and the Body,https://catalog.ucsd.edu/courses/CGS.html#cgs111
FA26,CGS:112,Sexuality and Nation,https://catalog.ucsd.edu/courses/CGS.html#cgs112
FA26,CGS:113,Gender and Sexuality in the Arts,https://catalog.ucsd.edu/courses/CGS.html#cgs113
FA26,CGS:134,Gender and Climate Justice,https://catalog.ucsd.edu/courses/CGS.html#cgs134
FA26,CGS:150,"Visuality, Sexuality, and Race",https://catalog.ucsd.edu/courses/CGS.html#cgs150
FA26,CGS:190,Honors Seminar,https://catalog.ucsd.edu/courses/CGS.html#cgs190
FA26,CGS:198,Directed Group Study,https://catalog.ucsd.edu/courses/CGS.html#cgs198
FA26,CGS:500,Apprentice Teaching in Critical Gender Studies,https://catalog.ucsd.edu/courses/CGS.html#cgs500
FA26,CHEM:4,Chemical Thinking,https://catalog.ucsd.edu/courses/CHEM.html#chem4
FA26,CHEM:6A,General Chemistry I,https://catalog.ucsd.edu/courses/CHEM.html#chem6a
FA26,CHEM:6B,General Chemistry II,https://catalog.ucsd.edu/courses/CHEM.html#chem6b
FA26,CHEM:6C,General Chemistry III,https://catalog.ucsd.edu/courses/CHEM.html#chem6c
FA26,CHEM:7L,General Chemistry Laboratory,https://catalog.ucsd.edu/courses/CHEM.html
